title_id,genre_id,order
tt0004551,4,1
tt0004551,2,2
tt0009119,8,1
tt0009119,13,2
tt0013698,15,1
tt0018251,15,1
tt0022864,4,1
tt0022864,8,2
tt0027467,8,1
tt0027467,5,2
tt0027467,15,3
tt0032050,4,1
tt0032050,8,2
tt0032050,5,3
tt0041189,4,1
tt0041189,16,2
tt0045779,3,1
tt0045779,4,2
tt0045779,16,3
tt0050372,2,1
tt0055005,8,1
tt0059601,4,1
tt0059601,15,2
tt0064242,8,1
tt0068839,1,1
tt0073477,2,1
tt0078095,17,1
tt0078095,16,2
tt0078095,9,3
tt0091970,14,1
tt0091970,8,2
tt0091970,20,3
tt0096583,8,1
tt0096583,5,2
tt0101211,4,1
tt0105808,1,1
tt0110425,10,1
tt0110425,21,2
tt0110425,23,3
tt0115058,2,1
tt0119759,11,1
tt0119759,1,2
tt0124704,28,1
tt0129439,28,1
tt0134171,8,1
tt0134171,2,2
tt0138976,4,1
tt0138976,8,2
tt0143707,28,1
tt0148429,3,1
tt0148429,2,2
tt0153079,28,1
tt0157776,2,1
tt0162664,4,1
tt0162664,2,2
tt0167559,4,1
tt0172342,1,1
tt0172342,2,2
tt0177054,2,1
tt0191583,28,1
tt0191583,4,2
tt0191583,14,3
tt0201289,18,1
tt0201289,14,2
tt0201289,8,3
tt0210944,2,1
tt0215719,4,1
tt0215719,5,2
tt0220525,1,1
tt0239444,23,1
tt0244127,8,1
tt0248846,11,1
tt0258293,1,1
tt0258293,2,2
tt0267734,1,1
tt0267734,2,2
tt0281834,2,1
tt0286565,3,1
tt0291295,1,1
tt0291295,12,2
tt0295970,4,1
tt0305472,4,1
tt0310140,28,1
tt0314810,2,1
tt0319480,18,1
tt0324120,17,1
tt0324120,14,2
tt0324120,8,3
tt0328788,18,1
tt0328788,17,2
tt0328788,3,3
tt0333416,23,1
tt0338027,2,1
tt0342958,1,1
tt0347574,4,1
tt0347574,2,2
tt0356803,4,1
tt0356803,8,2
tt0356803,5,3
tt0361412,28,1
tt0366082,4,1
tt0366082,8,2
tt0366082,16,3
tt0370766,8,1
tt0375425,16,1
tt0380054,2,1
tt0384991,18,1
tt0389620,1,1
tt0394230,18,1
tt0394230,17,2
tt0394230,14,3
tt0398896,4,1
tt0398896,2,2
tt0403508,4,1
tt0403508,8,2
tt0403508,5,3
tt0408133,14,1
tt0408133,8,2
tt0412734,1,1
tt0417374,1,1
tt0421990,22,1
tt0426590,8,1
tt0431201,8,1
tt0435827,4,1
tt0435827,2,2
tt0440437,28,1
tt0445049,4,1
tt0445049,2,2
tt0449700,5,1
tt0454341,20,1
tt0458951,28,1
tt0463568,28,1
tt0468193,4,1
tt0468193,2,2
tt0472813,18,1
tt0472813,14,2
tt0477472,14,1
tt0477472,8,2
tt0482123,18,1
tt0482123,28,2
tt0482123,17,3
tt0486777,8,1
tt0486777,20,2
tt0486777,5,3
tt0491388,8,1
tt0496005,1,1
tt0496005,2,2
tt0501028,26,1
tt0505595,17,1
tt0510233,12,1
tt0514794,8,1
tt0519362,15,1
tt0524124,4,1
tt0528680,8,1
tt0528680,5,2
tt0533213,4,1
tt0533213,12,2
tt0533213,25,3
tt0537749,8,1
tt0542295,8,1
tt0546853,8,1
tt0546853,5,2
tt0551400,4,1
tt0560503,12,1
tt0565101,8,1
tt0569663,4,1
tt0574310,14,1
tt0574310,8,2
tt0578873,16,1
tt0583421,14,1
tt0587976,8,1
tt0592497,8,1
tt0592497,10,2
tt0592497,20,3
tt0597129,18,1
tt0597129,14,2
tt0597129,8,3
tt0601672,14,1
tt0601672,8,2
tt0601672,20,3
tt0606202,4,1
tt0610738,4,1
tt0615287,25,1
tt0619832,4,1
tt0624467,21,1
tt0629009,4,1
tt0629009,16,2
tt0633586,25,1
tt0638106,14,1
tt0638106,8,2
tt0638106,23,3
tt0642624,4,1
tt0642624,25,2
tt0647164,4,1
tt0651713,1,1
tt0651713,19,2
tt0651713,2,3
tt0656261,14,1
tt0656261,8,2
tt0656261,20,3
tt0660869,8,1
tt0660869,9,2
tt0660869,10,3
tt0665436,4,1
tt0670024,4,1
tt0670024,12,2
tt0670024,25,3
tt0674541,8,1
tt0679229,4,1
tt0683784,4,1
tt0683784,7,2
tt0683784,25,3
tt0688317,6,1
tt0688317,25,2
tt0692843,25,1
tt0697378,8,1
tt0701952,14,1
tt0706474,18,1
tt0706474,14,2
tt0706474,8,3
tt0711051,17,1
tt0711051,4,2
tt0711051,16,3
tt0715609,4,1
tt0715609,12,2
tt0715609,25,3
tt0720170,4,1
tt0720170,8,2
tt0720170,5,3
tt0724822,12,1
tt0724822,25,2
tt0729360,25,1
tt0733902,8,1
tt0738480,4,1
tt0738480,25,2
tt0743024,15,1
tt0747713,4,1
tt0747713,16,2
tt0747713,5,3
tt0752261,4,1
tt0756830,4,1
tt0756830,5,2
tt0761476,17,1
tt0761476,26,2
tt0761476,27,3
tt0766111,16,1
tt0770819,4,1
tt0770819,5,2
tt0775456,1,1
tt0775456,21,2
tt0780086,1,1
tt0780086,2,2
tt0784733,17,1
tt0784733,3,2
tt0784733,4,3
tt0789357,4,1
tt0789357,8,2
tt0789357,16,3
tt0798661,11,1
tt0798661,1,2
tt0798661,19,3
tt0803308,4,1
tt0803308,6,2
tt0803308,25,3
tt0807892,8,1
tt0812496,26,1
tt0812496,27,2
tt0817194,4,1
tt0817194,2,2
tt0821790,18,1
tt0821790,13,2
tt0826426,8,1
tt0826426,5,2
tt0831155,8,1
tt0835822,4,1
tt0840498,12,1
tt0845161,18,1
tt0845161,17,2
tt0845161,3,3
tt0854389,16,1
tt0854389,22,2
tt0859024,4,1
tt0863715,8,1
tt0863715,5,2
tt0868307,17,1
tt0868307,3,2
tt0868307,8,3
tt0872988,8,1
tt0877642,10,1
tt0882295,8,1
tt0882295,19,2
tt0882295,13,3
tt0886958,1,1
tt0886958,19,2
tt0891589,8,1
tt0896319,14,1
tt0896319,8,2
tt0900953,8,1
tt0905676,17,1
tt0905676,3,2
tt0905676,8,3
tt0910335,4,1
tt0915060,16,1
tt0919793,8,1
tt0919793,16,2
tt0924390,3,1
tt0924390,4,2
tt0924390,16,3
tt0928986,16,1
tt0928986,5,2
tt0933601,27,1
tt0938219,27,1
tt0942866,12,1
tt0942866,27,2
tt0947542,16,1
tt0947542,9,2
tt0947542,22,3
tt0952189,4,1
tt0952189,8,2
tt0952189,5,3
tt0956853,5,1
tt0961503,4,1
tt0961503,12,2
tt0961503,25,3
tt0966161,17,1
tt0966161,3,2
tt0966161,4,3
tt0975538,8,1
tt0980191,18,1
tt0980191,17,2
tt0980191,3,3
tt0984824,18,1
tt0984824,3,2
tt0984824,4,3
tt0989434,1,1
tt0989434,27,2
tt0994081,26,1
tt0998684,8,1
tt10006630,8,1
tt10006630,5,2
tt10014704,4,1
tt10014704,9,2
tt10014704,21,3
tt10022662,25,1
tt1003071,8,1
tt1003071,5,2
tt1003864,3,1
tt10046836,4,1
tt10046836,16,2
tt10054892,16,1
tt10063032,7,1
tt10063032,25,2
tt10071282,8,1
tt10071282,2,2
tt10079320,4,1
tt10079320,5,2
tt1008739,4,1
tt1008739,2,2
tt10095410,1,1
tt1010359,8,1
tt1010359,5,2
tt1011170,26,1
tt10119772,8,1
tt10127872,25,1
tt1013605,28,1
tt10144172,25,1
tt10152238,6,1
tt10160210,8,1
tt10168354,6,1
tt10176470,8,1
tt10184662,18,1
tt10184662,14,2
tt10184662,8,3
tt10192492,8,1
tt10200488,4,1
tt10208574,25,1
tt1021650,17,1
tt1021650,4,2
tt1021650,16,3
tt1022470,8,1
tt1022470,5,2
tt1022470,21,3
tt10232688,8,1
tt10240750,1,1
tt1024875,2,1
tt10256714,8,1
tt10264882,4,1
tt10264882,2,2
tt10272968,8,1
tt10272968,5,2
tt10281126,14,1
tt10281126,8,2
tt10281126,20,3
tt10289210,4,1
tt10297314,14,1
tt10297314,8,2
tt10297314,20,3
tt10305372,8,1
tt1031352,4,1
tt10321766,4,1
tt10321766,8,2
tt10321766,5,3
tt1032982,8,1
tt1032982,5,2
tt10337842,8,1
tt1034606,8,1
tt1034606,5,2
tt10354034,25,1
tt1036222,8,1
tt1036222,25,2
tt1037048,4,1
tt10378572,8,1
tt10386806,8,1
tt10386806,5,2
tt1039496,1,1
tt10402942,7,1
tt10411192,8,1
tt10411192,5,2
tt10419280,25,1
tt10427258,4,1
tt10435274,4,1
tt10435274,14,2
tt10435274,8,3
tt10443436,1,1
tt10443436,25,2
tt10451424,4,1
tt10459522,8,1
tt10467770,4,1
tt10475960,8,1
tt10475960,5,2
tt1048399,4,1
tt10492090,25,1
tt10500182,1,1
tt10500182,2,2
tt10508134,8,1
tt10516496,17,1
tt10516496,3,2
tt10516496,4,3
tt10524462,28,1
tt10532598,18,1
tt10532598,17,2
tt10532598,14,3
tt10540716,27,1
tt10548710,11,1
tt10556764,12,1
tt10565014,12,1
tt10572870,21,1
tt10580974,25,1
tt10589076,5,1
tt1059710,4,1
tt1059710,16,2
tt1059710,9,3
tt10605256,8,1
tt10614008,26,1
tt10621924,4,1
tt10621924,8,2
tt10621924,9,3
tt10629922,4,1
tt1063791,8,1
tt1064592,26,1
tt10653858,14,1
tt10653858,23,2
tt10661930,14,1
tt10661930,7,2
tt1066985,25,1
tt10678090,4,1
tt10686222,6,1
tt10686222,25,2
tt10694234,8,1
tt10702042,25,1
tt10709932,5,1
tt10717764,25,1
tt10725668,4,1
tt10733668,5,1
tt1074157,14,1
tt1074157,8,2
tt1074157,5,3
tt10749470,8,1
tt10757462,14,1
tt10757462,8,2
tt10757462,5,3
tt10765580,1,1
tt1077384,4,1
tt1077384,2,2
tt1078185,4,1
tt1078185,8,2
tt10790154,1,1
tt10798276,8,1
tt10798276,5,2
tt10806306,4,1
tt10806306,16,2
tt10814222,7,1
tt10814222,27,2
tt10814222,25,3
tt10822204,8,1
tt10822204,16,2
tt10830178,1,1
tt10838094,1,1
tt10838094,27,2
tt10846018,1,1
tt10846018,2,2
tt10854226,16,1
tt10862224,1,1
tt10862224,25,2
tt10870140,8,1
tt10877960,17,1
tt10877960,4,2
tt10877960,9,3
tt10885846,5,1
tt10893898,26,1
tt10901802,6,1
tt10909720,8,1
tt10917838,7,1
tt10917838,27,2
tt10917838,25,3
tt10925900,7,1
tt1093421,14,1
tt1093421,5,2
tt10942374,7,1
tt10950354,25,1
tt10958492,12,1
tt10958492,27,2
tt10958492,25,3
tt1096630,4,1
tt1096630,16,2
tt10974134,28,1
tt10982076,10,1
tt10982076,23,2
tt1099013,3,1
tt1099013,4,2
tt1099013,16,3
tt10997996,8,1
