language_id,language_name
bg,
ga,
la,
sk,
haw,
roa,
lb,
pl,
cmn,
el,
st,
ko,
cy,
rn,
yi,
bn,
tk,
su,
ka,
eu,
my,
ro,
uk,
am,
qbo,
bs,
qbp,
it,
ms,
ca,
qal,
th,
tg,
sv,
ky,
fi,
ml,
tn,
gd,
qbn,
sl,
kn,
pt,
ta,
prs,
hi,
tr,
ne,
xh,
ur,
fr,
sd,
cr,
zu,
et,
qac,
mn,
da,
sr,
ku,
no,
ru,
ja,
jv,
mr,
myv,
tl,
cs,
az,
is,
ar,
fro,
af,
yue,
vi,
br,
nl,
ps,
mk,
hy,
mi,
wo,
te,
gl,
hr,
uz,
lt,
de,
rm,
eka,
fa,
iu,
es,
he,
be,
zh,
en,
hu,
kk,
gsw,
lv,
gu,
sq,
pa,
id,
lo,
